ID,COD_MUNICIPIO,NOME,NOME_RESPONSAVEL,data_nasc,Tipo_erro
5194,3152204,CHEILA VIVIANE SANTANA,K.,25/03/1996,tipo 2
5233,3168002,ZENILDO TEIXEIRA COSTA,S.,10/08/1998,tipo 2
5326,2501906,MAELY CHRISTINI ROSA DOS SANTOS,A.,28/01/1978,tipo 2
5369,1504604,LUZIELMA BAIA MOURA,G.,21/12/1983,tipo 2
5381,1504703,SILVIO CORDDEIRO DA TRINDADE,J.,16/10/2004,tipo 2
5530,2602209,CRISTIANE MARIA OLIVEIRA DA SILVA,N.,17/11/1949,tipo 2
5728,2614105,MOISES DE ALMEIDA,P.,17/02/1935,tipo 2
5774,2205003,ERIELSON PINHEIRO DE OLIVEIRA,E.,17/08/1965,tipo 2
5796,2208007,JOSE RONALDO DE SOUSA,J.,30/06/2004,tipo 2
5822,2211001,HENRIQUE LUIS DE SOUSA FILHO,E.,18/04/1972,tipo 2
5857,4109708,LUIZ CANDIDA DA SILVA,R.,12/11/2016,tipo 2
5892,3301405,ROSELY DOS SANTOS RODRIGUES APRIGIO,E.,02/10/2003,tipo 2
5931,3302403,MARCELO ALVES DE OLIVEIRA,S.,18/02/2018,tipo 2
5972,3303500,GUILHERME MARTINS CYPRIANO,B.,09/02/1924,tipo 2
6107,3304706,LARA FERREIRA DA CUNHA,R.,14/07/1991,tipo 2
