ID,COD_MUNICIPIO,NOME,NOME_RESPONSAVEL,data_nasc,Tipo_erro
17449,5107206,MICELIA SILVA FREIRE,RENILDA DUTRA DE ALBUQUERQUE,26/09/2009,tipo 2
17480,5107206,MINORY DE LIMA,RONIERI VIEIRA,12/08/1972,tipo 2
17512,1200401,MOISES DE JESUS,ROSANE MAIA DE MEDEIROS,14/03/1974,tipo 2
17590,1200401,NICE DE SOUZA SILVA,RUTH SOUZA DA SILVA,25/12/1985,tipo 2
17608,1200401,OBELIA DA SILVA,SALETE DA SILVA OLIVEIRA,13/05/2013,tipo 2
17714,1200401,RAIANE DE OLIVEIRA,SILVANA DOS SANTOS SILVA,17/03/2001,tipo 2
17723,5107206,RAIEL NASCIMENTO TEIXEIRA,SILVIA SOUZA DE ARAUJO,06/12/1957,tipo 2
17734,1200401,RAILMA DOS SANTOS,SIMONE LOPES FERREIRA,20/10/1958,tipo 2
17910,1200401,RONAILTON DE ARAUJO,VALCINEIDE SILVA DA COSTA,29/01/2000,tipo 2
17972,5107206,ROSIANE DA SILVA,VANUZA PEREIRA DE SOUZA,30/01/1958,tipo 2
18144,1200401,SHEYLAIANE SOUZA PEREIRA,JULIA KIMBERLY OLIVEIRA DE LIMA,09/05/1934,tipo 2
18150,1200401,SIDNEIA SILVA BARBOSA CANDIDO,LEIDIANE FREITAS DA SILVA,04/05/1927,tipo 2
18155,1200401,SILVANA DOS SANTOS,MAICON SALES DE SOUZA,25/03/1984,tipo 2
18204,1200401,SUELY,NILMARA TAVARES DE MELO,06/06/2010,tipo 2
18270,5107206,TEREZA COSTA LIMA,RICARDO JAMINAWA,28/10/1978,tipo 2
18277,1200401,TEREZINHA JESUS DA SILVA E SILVA,ADRIANA DA SILVA CHAVES,09/09/1957,tipo 2
18293,5107206,THAIS SOUZA LIMA,ANA CRISTINA SAMPAIO DA SILVA,15/02/1990,tipo 2
18314,5107206,THAYS DA SILVA,ANTONIO CARLOS VIEIRA DA SILVA,20/09/1924,tipo 2
18582,1200427,JEANE SILVA BARBOSA,MAYARA FERREIRA DA SILVA,23/06/1959,tipo 2
18628,1200427,MARIA DA ROCHA,ROGERIO SILVA DE OLIVEIRA,30/10/1941,tipo 2
18655,1200427,MARIA CONSTANTINO DA COSTA,SILVANA SILVA GOMES,14/02/1955,tipo 2
18691,1200435,ARLENE LOPES KAXINAWA,ANA PAULA DE SOUSA LIMA MARINHO,27/12/1977,tipo 2
18714,1200435,IRIS BATISTA KAXINAWA,EDIVANIA FERREIRA OLIVEIRA,01/12/1968,tipo 2
18765,1200500,ALDINEIA DA SILVA,JUSCELINA DA SILVA ARAUJO,16/04/2009,tipo 2
18806,1200500,ANTONIO DE BARROS,MARIA GLEICIANE GALVAO DE SOUZA,08/06/1943,tipo 2
18906,1200500,FRANCIRLANE LOPES,ANTONIO ALISON BEZERRA DE MENEZES,19/07/2000,tipo 2
18908,1200500,FRANCISCA CRUZ DA ROCHA,ANTONIO ELISSON DOS SANTOS NASCIMENTO,07/10/1937,tipo 2
18978,1200500,KAILINY DA SILVA,FRANCISCA LUCIELIA CUNHA DOS SANTOS,15/12/1932,tipo 2
19040,1200500,MARIA DORES DE OLIVEIRA,MANOEL DE JESUS PEREIRA BARBOSA,03/05/1978,tipo 2
19289,1200450,IOLANDA DE OLIVEIRA,CLEILDA DA SILVA NONATO,04/09/1925,tipo 2
19319,1200450,LUIS PLACIDO DA SILVA,IEDA CLARA OLIVEIRA DA SILVA,28/01/1933,tipo 2
19361,1200450,PEDRO DOS SANTOS,MARIA DE NAZARE FERREIRA DO NASCIMENTO,28/08/2013,tipo 2
19465,1200609,CIRLENE DA SILVA,CLAUDIA MARIA DE LIMA SA DOS SANTOS,26/04/1959,tipo 2
19526,1200609,GECILDA ARAUJO DA SILVA,GILMAR CLAUDINO DE SOUZA,12/02/2004,tipo 2
19594,1200609,LUCIANO PRADO BAYMA,LENIZE DA SILVA NUNES,16/11/2017,tipo 2
19623,1200609,MARIA CARDOSO MENDES,MANUEL MESSIAS CORDEIRO DOS SANTOS,29/03/1948,tipo 2
19690,1200609,MARIA CONCEICAO DA SILVA,MARIA FRANCISCA DA CONCEICAO,08/07/1971,tipo 2
19715,1200609,MARIA MARQUES FERREIRA,MARIA JOSE DE SOUZA,27/10/2003,tipo 2
19781,1200609,MARLINE NASCIMENTO SANTOS,QUITERIA GONCALVES DA SILVA DO NASCIMENT,19/08/1972,tipo 2
19788,1200609,NAIANE OLIVEIRA ALVES,RAQUEL ALVES DE LIMA,14/04/1926,tipo 2
19845,1200609,TAMIRES PEQUENO,TAMIRES RODRIGUES GOMES,07/11/1924,tipo 2
19890,1200708,CRISTIELE LIMA,CICERO LUCIANO DA SILVA,27/05/1970,tipo 2
19936,1200708,JOSIANE DE OLIVEIRA,JOSE SILVESTRE DA SILVA,11/03/1994,tipo 2
20024,2500106,ALESSANDRA DA SILVA,TAIZE DOS SANTOS DE JESUS,03/03/1990,tipo 2
