ID,COD_MUNICIPIO,NOME,NOME_RESPONSAVEL,data_nasc,Tipo_erro
22,2702108,JOSE IZIDORO DA SILVA,RAIDREI PIMENTEL GOMES,13/05/2019,tipo 2
23,2704104,IRANILDO FARIAS COSTA,SEBASTIANA NARCISO DE OLIVEIRA DE SOUZA,26/11/1995,tipo 2
36,2905701,ALAN OLYNEK,BENEVALDO DA CONCEICAO CRAVO,02/06/1998,tipo 2
73,4310405,MARCOS TORRES DE SOUSA,JOAO ROBERTO LOIOLA,02/06/1989,tipo 2
116,3205101,DIEGO SANTANA COSTA,JOSE TEIXEIRA DE MELO,06/11/2001,tipo 2
288,3518701,ANA CRISPIM DA SILVA,GEYSA CARVALHO SANTOS,14/10/1940,tipo 2
390,2928000,RITA CASSIA DA SILVA BRITO SANTOS,REGINEIDE LEITE GONCALVES,31/12/1975,tipo 2
448,2311355,ANTONIO DA COSTA,JAIRON MACENA MONTEIRO,29/10/1925,tipo 2
453,2412005,VIDAL RODRIGUES,JOSE EVANDRO BILIO DE SOUSA,05/05/1948,tipo 2
491,2105922,MARILIA GUIMARAES,RAIMUNDO ELOIA GUIMARAES,15/07/1960,tipo 2
531,2113009,RAIMUNDA PEREIRA DE SOUSA,MARIA DOS ANJOS EVANGELISTA,13/12/1964,tipo 2
557,3116100,ANTONIO OTONI,VERA MORAIS DE SOUZA,04/01/1958,tipo 2
646,1504703,LUIZ DA SILVA MAIA,CONCEICAO DE MARIA FERREIRA LIMA,19/07/1963,tipo 2
657,2507002,DAMIANA DA CONCEICAO,EYSHILA PEREIRA DE SANTANA,15/07/1959,tipo 2
667,2409209,REGINA OLIVEIRA SILVA,LUIZ CARLOS DA SILVA,26/10/1985,tipo 2
697,2611606,LUCINEIDE CARMO LIMA SILVA,MARIA DA CONCEICAO FERREIRA DA SILVA,01/11/1999,tipo 2
714,2203255,ROSELIVIA CABRAL,ANTONIO LUIZ FREIRE SOARES,12/05/1929,tipo 2
770,3304557,CATIA SILVA COSTA,CLAYTON SILVA DE ALMEIDA,06/07/1976,tipo 2
820,2403251,MARIA SOCORRO SILVA DE BARROS,LUIS CARLOS DE ABREU,10/08/1978,tipo 2
896,3550308,EUDES DA SILVA,MANOEL ARAUJO NETO,23/01/2022,tipo 2
938,2703304,VALDENI SILVA,JOSE MORENO ALVES DOS SANTOS,13/05/2020,tipo 2
946,2704302,LUCIANO SANTOS DA SILVA,NETELCIO PEREIRA DO NASCIMENTO,22/12/2004,tipo 2
947,2704302,LUCIDALVA DA SILVA,ELCILEIDE SANTOS DA PAZ,21/03/2013,tipo 2
952,2704807,MANOEL DA SILVA,JOAO FREITAS DOS ANJOS,05/09/2005,tipo 2
971,2709301,FABIO DOS SANTOS SILVA,AURINO DE JESUS SOUZA,26/11/1988,tipo 2
1044,2912806,WEDJA SANTOS SILVA,ELLHEM DOS SANTOS OLIVEIRA,24/12/1998,tipo 2
1046,2914000,ADENILSON DA SILVA,MARIA ZENAIDE BARROS COELHO,28/02/1982,tipo 2
1135,2300101,MARIA FELIX LIMA,LOUISE ANA BARROSO BRAGA,03/08/2019,tipo 2
1163,2304400,ANA MACEDO SOARES,NAILTON JOSE FERREIRA AZEVEDO,29/12/2021,tipo 2
1255,5212501,MARLENE DE SOUZA,ELTON JOHN GOMES RIBEIRO,02/04/1982,tipo 2
1350,3106200,CLEUSA ALMEIDA,BIGAIL TRINDADE PIMENTEL,12/10/1959,tipo 2
1445,1500107,ROSELI COSTA,MATHEUS GOMES DA SILVA,27/02/2010,tipo 2
1474,1501402,WILAMS DA SILVA,DAMIAO FERREIRA DOS SANTOS,21/07/1975,tipo 2
1576,2606002,AYANNE DA SILVA BRITO,VALDOMIRO ALVES FEITOSA,24/04/1944,tipo 2
1645,2205557,ANTONIO NASCIMENTO CARDOSO,LUCILENE FABIOLA FERREIRA DA SILVA,03/08/1965,tipo 2
